Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347104      |0.421244       |452              
2                  |0.345591       |0.348611      |0.421244       |452              
3                  |0.345591       |0.350042      |0.421244       |452              
4                  |0.345591       |0.351925      |0.439710       |441              
5                  |0.345591       |0.353091      |0.439710       |441              
6                  |0.345591       |0.354942      |0.439710       |441              
7                  |0.345591       |0.356216      |0.439710       |441              
8                  |0.345591       |0.358514      |0.460540       |428              
9                  |0.345591       |0.359720      |0.460540       |428              
10                 |0.345591       |0.361416      |0.460540       |428              
11                 |0.345591       |0.363365      |0.460540       |428              
12                 |0.345591       |0.365228      |0.460540       |428              
13                 |0.345591       |0.366744      |0.460540       |428              
14                 |0.345591       |0.368421      |0.460540       |428              
15                 |0.345591       |0.369825      |0.460540       |428              
16                 |0.345591       |0.371223      |0.460540       |428              
17                 |0.345591       |0.372703      |0.460540       |428              
18                 |0.345591       |0.374076      |0.460540       |428              
19                 |0.345591       |0.375304      |0.460540       |428              
20                 |0.345591       |0.377162      |0.460540       |428              
21                 |0.345591       |0.379003      |0.460540       |428              
22                 |0.345591       |0.380476      |0.460540       |428              
23                 |0.345591       |0.382228      |0.460540       |428              
24                 |0.345591       |0.385659      |0.500892       |411              
25                 |0.345591       |0.387163      |0.500892       |411              
26                 |0.345591       |0.388847      |0.500892       |411              
27                 |0.345591       |0.390038      |0.500892       |411              
28                 |0.345591       |0.391704      |0.500892       |411              
29                 |0.345591       |0.392913      |0.500892       |411              
30                 |0.345591       |0.394661      |0.500892       |411              
31                 |0.345591       |0.396046      |0.500892       |411              
32                 |0.345591       |0.398934      |0.500892       |411              
33                 |0.345591       |0.400761      |0.500892       |411              
34                 |0.345591       |0.402206      |0.500892       |411              
35                 |0.345591       |0.405063      |0.500892       |411              
36                 |0.345591       |0.406788      |0.500892       |411              
37                 |0.345591       |0.410022      |0.500892       |411              
38                 |0.345591       |0.411602      |0.500892       |411              
39                 |0.345591       |0.414961      |0.500892       |411              
40                 |0.345591       |0.416716      |0.500892       |411              
41                 |0.345591       |0.419766      |0.502821       |406              
42                 |0.345591       |0.422098      |0.502821       |406              
43                 |0.345591       |0.422844      |0.502821       |406              
44                 |0.345591       |0.425762      |0.502821       |406              
45                 |0.345591       |0.426354      |0.502821       |406              
46                 |0.345591       |0.429305      |0.502821       |406              
47                 |0.345591       |0.433043      |0.517862       |398              
48                 |0.345591       |0.433539      |0.517862       |398              
49                 |0.345591       |0.434198      |0.517862       |398              
50                 |0.345591       |0.434977      |0.517862       |398              
51                 |0.345591       |0.435736      |0.517862       |398              
52                 |0.345591       |0.439235      |0.517862       |398              
53                 |0.345591       |0.440176      |0.517862       |398              
54                 |0.345591       |0.443409      |0.517862       |398              
55                 |0.345591       |0.446699      |0.517862       |398              
56                 |0.345591       |0.451089      |0.568582       |377              
57                 |0.345591       |0.454115      |0.568582       |377              
58                 |0.345591       |0.454780      |0.568582       |377              
59                 |0.345591       |0.456693      |0.568582       |377              
60                 |0.345591       |0.459335      |0.568582       |377              
61                 |0.345591       |0.459895      |0.568582       |377              
62                 |0.345591       |0.461662      |0.568582       |377              
63                 |0.345591       |0.465526      |0.568582       |377              
64                 |0.345591       |0.468918      |0.568582       |377              
65                 |0.395235       |0.469711      |0.568582       |377              
66                 |0.405844       |0.472801      |0.568582       |377              
67                 |0.405844       |0.476761      |0.568582       |377              
68                 |0.411518       |0.479558      |0.568582       |377              
69                 |0.412085       |0.484746      |0.607268       |360              
70                 |0.417882       |0.486179      |0.607268       |360              
71                 |0.420142       |0.486818      |0.607268       |360              
72                 |0.421244       |0.491909      |0.607268       |360              
73                 |0.421244       |0.494939      |0.607268       |360              
74                 |0.421418       |0.497672      |0.607268       |360              
75                 |0.421418       |0.501777      |0.607268       |360              
76                 |0.421520       |0.504964      |0.607268       |360              
77                 |0.423476       |0.507680      |0.607268       |360              
78                 |0.424979       |0.510235      |0.607268       |360              
79                 |0.429749       |0.514303      |0.607268       |360              
80                 |0.429749       |0.518237      |0.607268       |360              
81                 |0.430409       |0.521515      |0.607268       |360              
82                 |0.430409       |0.525699      |0.607268       |360              
83                 |0.431852       |0.527914      |0.607268       |360              
84                 |0.431852       |0.531536      |0.607268       |360              
85                 |0.436905       |0.535632      |0.607268       |360              
86                 |0.436905       |0.540013      |0.607268       |360              
87                 |0.437624       |0.543339      |0.607268       |360              
88                 |0.437624       |0.548319      |0.628673       |353              
89                 |0.438741       |0.552692      |0.628673       |353              
90                 |0.438741       |0.556521      |0.628673       |353              
91                 |0.439726       |0.559944      |0.628673       |353              
92                 |0.470814       |0.563440      |0.628673       |353              
93                 |0.470814       |0.567843      |0.628673       |353              
94                 |0.480279       |0.571611      |0.628673       |353              
95                 |0.480279       |0.579111      |0.701739       |328              
96                 |0.480279       |0.583552      |0.701739       |328              
97                 |0.513725       |0.589292      |0.701739       |328              
98                 |0.513725       |0.593511      |0.701739       |328              
99                 |0.513725       |0.596839      |0.701739       |328              
100                |0.519471       |0.600710      |0.701739       |328              
101                |0.519471       |0.607892      |0.716767       |324              
102                |0.519471       |0.612752      |0.716767       |324              
103                |0.544616       |0.618641      |0.716767       |324              
104                |0.544616       |0.623693      |0.716767       |324              
105                |0.544616       |0.627388      |0.716767       |324              
106                |0.558282       |0.633123      |0.716767       |324              
107                |0.558282       |0.636556      |0.716767       |324              
108                |0.558282       |0.641929      |0.716767       |324              
109                |0.558282       |0.647015      |0.716767       |324              
110                |0.579595       |0.653101      |0.719186       |322              
111                |0.579595       |0.658004      |0.719186       |322              
112                |0.584796       |0.661447      |0.719186       |322              
113                |0.593768       |0.664689      |0.719186       |322              
114                |0.593768       |0.669420      |0.719186       |322              
115                |0.593768       |0.676359      |0.760225       |309              
116                |0.608272       |0.684746      |0.789430       |302              
117                |0.608272       |0.688607      |0.789430       |302              
118                |0.608272       |0.696354      |0.789430       |302              
119                |0.608272       |0.704245      |0.809604       |297              
120                |0.614749       |0.711994      |0.817458       |295              
121                |0.614749       |0.718747      |0.817458       |295              
122                |0.614749       |0.724754      |0.817458       |295              
123                |0.625476       |0.726717      |0.817458       |295              
124                |0.625476       |0.731153      |0.817458       |295              
125                |0.625476       |0.738938      |0.817458       |295              
126                |0.625476       |0.746102      |0.817458       |295              
127                |0.655991       |0.754033      |0.823141       |293              
128                |0.655991       |0.761585      |0.823141       |293              
129                |0.655991       |0.770902      |0.863942       |282              
130                |0.655991       |0.779219      |0.874590       |279              
131                |0.682590       |0.786769      |0.874590       |279              
132                |0.682590       |0.795675      |0.876361       |278              
133                |0.682590       |0.802984      |0.876361       |278              
134                |0.695885       |0.809290      |0.876361       |278              
135                |0.695885       |0.819390      |0.912302       |270              
136                |0.695885       |0.828403      |0.913181       |270              
137                |0.712925       |0.838247      |0.940711       |264              
138                |0.712925       |0.844640      |0.940711       |264              
139                |0.716767       |0.851721      |0.940711       |264              
140                |0.716767       |0.857966      |0.940711       |264              
141                |0.776644       |0.861846      |0.940711       |264              
142                |0.776644       |0.868639      |0.940711       |264              
143                |0.776644       |0.876520      |0.940711       |264              
144                |0.776644       |0.881417      |0.940711       |264              
145                |0.776644       |0.887055      |0.943799       |263              
146                |0.776644       |0.891805      |0.943799       |263              
147                |0.813760       |0.898808      |0.943799       |263              
148                |0.813760       |0.901450      |0.943799       |263              
149                |0.813760       |0.907029      |0.943799       |263              
150                |0.813760       |0.914336      |0.943799       |263              
151                |0.874590       |0.916962      |0.945124       |263              
152                |0.874590       |0.921456      |0.945124       |263              
153                |0.874590       |0.926218      |0.945124       |263              
154                |0.874590       |0.928051      |0.945124       |263              
155                |0.874590       |0.928673      |0.945124       |263              
156                |0.874590       |0.931817      |0.945124       |263              
157                |0.874590       |0.936775      |0.945124       |263              
158                |0.912302       |0.937954      |0.945124       |263              
159                |0.912302       |0.937953      |0.945124       |263              
160                |0.912302       |0.937993      |0.945124       |263              
161                |0.912302       |0.938025      |0.945124       |263              
162                |0.912302       |0.939077      |0.945124       |263              
163                |0.912302       |0.939124      |0.945124       |263              
164                |0.912302       |0.939118      |0.945124       |263              
165                |0.931589       |0.940497      |0.945124       |263              
166                |0.932503       |0.940570      |0.945124       |263              
167                |0.932503       |0.940579      |0.945124       |263              
168                |0.932400       |0.940570      |0.945124       |263              
169                |0.924568       |0.939928      |0.945124       |263              
170                |0.924568       |0.940421      |0.945124       |263              
171                |0.924568       |0.940353      |0.945124       |263              
172                |0.924568       |0.940347      |0.945124       |263              
173                |0.930688       |0.940653      |0.945124       |263              
174                |0.930688       |0.940640      |0.945124       |263              
175                |0.930688       |0.940626      |0.945124       |263              
176                |0.930688       |0.940653      |0.945124       |263              
177                |0.930688       |0.940632      |0.945124       |263              
178                |0.931911       |0.941355      |0.945124       |263              
179                |0.931911       |0.941369      |0.945124       |263              
180                |0.931911       |0.941404      |0.945124       |263              
181                |0.931911       |0.941419      |0.945124       |263              
182                |0.932702       |0.941475      |0.945124       |263              
183                |0.932702       |0.941096      |0.945124       |263              
184                |0.932702       |0.941217      |0.945124       |263              
185                |0.932985       |0.941234      |0.945124       |263              
186                |0.932985       |0.941246      |0.945124       |263              
187                |0.932985       |0.941369      |0.945124       |263              
188                |0.932985       |0.941389      |0.945124       |263              
189                |0.932985       |0.941544      |0.945124       |263              
190                |0.932985       |0.941582      |0.945124       |263              
191                |0.932985       |0.941626      |0.945124       |263              
192                |0.932133       |0.941592      |0.945124       |263              
193                |0.932133       |0.941517      |0.945124       |263              
194                |0.932133       |0.941528      |0.945124       |263              
195                |0.932133       |0.940839      |0.945124       |263              
196                |0.932081       |0.940837      |0.945124       |263              
197                |0.932081       |0.940870      |0.945124       |263              
198                |0.932332       |0.940880      |0.945124       |263              
199                |0.932332       |0.940958      |0.945124       |263              
200                |0.930740       |0.940409      |0.945124       |263              
201                |0.930285       |0.940363      |0.945124       |263              
202                |0.930285       |0.940370      |0.945124       |263              
203                |0.929977       |0.940339      |0.945124       |263              
204                |0.929783       |0.940320      |0.945124       |263              
205                |0.929783       |0.940299      |0.945124       |263              
206                |0.929783       |0.940260      |0.945124       |263              
207                |0.929836       |0.940265      |0.945124       |263              
208                |0.929998       |0.940281      |0.945124       |263              
209                |0.929950       |0.940277      |0.945124       |263              
210                |0.929950       |0.940283      |0.945124       |263              
211                |0.929950       |0.940346      |0.945124       |263              
212                |0.929950       |0.940339      |0.945124       |263              
213                |0.929950       |0.940312      |0.945124       |263              
214                |0.929950       |0.940310      |0.945124       |263              
215                |0.929290       |0.940244      |0.945124       |263              
216                |0.929417       |0.940257      |0.945124       |263              
217                |0.929417       |0.940230      |0.945124       |263              
218                |0.929417       |0.940107      |0.945124       |263              
219                |0.929417       |0.940353      |0.945124       |263              
220                |0.929880       |0.940400      |0.945124       |263              
221                |0.929880       |0.940420      |0.945124       |263              
222                |0.929443       |0.940377      |0.945124       |263              
223                |0.929443       |0.940401      |0.945124       |263              
224                |0.934886       |0.940945      |0.945124       |263              
225                |0.934886       |0.940974      |0.945124       |263              
226                |0.935540       |0.941039      |0.945124       |263              
227                |0.935540       |0.941061      |0.945124       |263              
228                |0.935540       |0.941090      |0.945124       |263              
229                |0.935540       |0.941067      |0.945124       |263              
230                |0.935540       |0.941079      |0.945124       |263              
231                |0.935540       |0.941120      |0.945124       |263              
232                |0.935540       |0.941192      |0.945124       |263              
233                |0.936924       |0.941316      |0.945124       |263              
234                |0.936924       |0.941213      |0.945124       |263              
235                |0.935361       |0.940622      |0.945124       |263              
236                |0.935361       |0.940615      |0.945124       |263              
237                |0.930472       |0.940126      |0.945124       |263              
238                |0.930472       |0.940169      |0.945124       |263              
239                |0.930472       |0.940151      |0.945124       |263              
240                |0.931229       |0.940227      |0.945124       |263              
241                |0.931229       |0.940375      |0.945124       |263              
242                |0.936772       |0.940944      |0.945124       |263              
243                |0.936832       |0.940948      |0.945124       |263              
244                |0.937008       |0.940962      |0.945124       |263              
245                |0.937320       |0.940987      |0.945124       |263              
246                |0.937320       |0.940977      |0.945124       |263              
247                |0.937320       |0.940977      |0.945124       |263              
248                |0.937320       |0.940981      |0.945124       |263              
249                |0.937372       |0.941022      |0.945124       |263              
250                |0.937372       |0.941013      |0.945124       |263              
251                |0.937372       |0.941034      |0.945124       |263              
252                |0.937372       |0.941049      |0.945124       |263              
253                |0.937006       |0.940452      |0.945124       |263              
254                |0.937006       |0.940461      |0.945124       |263              
255                |0.937006       |0.940501      |0.945124       |263              
256                |0.936871       |0.940452      |0.945124       |263              
257                |0.936871       |0.940457      |0.945124       |263              
258                |0.936871       |0.940498      |0.945124       |263              
259                |0.936871       |0.940508      |0.945124       |263              
260                |0.936871       |0.940546      |0.945124       |263              
261                |0.936871       |0.940565      |0.945124       |263              
262                |0.936871       |0.940561      |0.945124       |263              
263                |0.936534       |0.940534      |0.945124       |263              
264                |0.936534       |0.940837      |0.945124       |263              
265                |0.936534       |0.940840      |0.945124       |263              
266                |0.936534       |0.940792      |0.945124       |263              
267                |0.936669       |0.940802      |0.945124       |263              
268                |0.936669       |0.940777      |0.945124       |263              
269                |0.936669       |0.940828      |0.945124       |263              
270                |0.936669       |0.940885      |0.945124       |263              
271                |0.937098       |0.940924      |0.945124       |263              
272                |0.937098       |0.940912      |0.945124       |263              
273                |0.937098       |0.940850      |0.945124       |263              
274                |0.937065       |0.940847      |0.945124       |263              
275                |0.937065       |0.940834      |0.945124       |263              
276                |0.937065       |0.940845      |0.945124       |263              
277                |0.935699       |0.940700      |0.945124       |263              
278                |0.936966       |0.940801      |0.945124       |263              
279                |0.937065       |0.940863      |0.945124       |263              
280                |0.937065       |0.941316      |0.945124       |263              
281                |0.937081       |0.941317      |0.945124       |263              
282                |0.937081       |0.941284      |0.945124       |263              
283                |0.937081       |0.941338      |0.945124       |263              
284                |0.937081       |0.941394      |0.945124       |263              
285                |0.937081       |0.941368      |0.945124       |263              
286                |0.937081       |0.941391      |0.945124       |263              
287                |0.937081       |0.941431      |0.945124       |263              
288                |0.937081       |0.941452      |0.945124       |263              
289                |0.937598       |0.941488      |0.945124       |263              
290                |0.937049       |0.941417      |0.945124       |263              
291                |0.937049       |0.941346      |0.945124       |263              
292                |0.936825       |0.941325      |0.945124       |263              
293                |0.936825       |0.941410      |0.945124       |263              
294                |0.936825       |0.941384      |0.945124       |263              
295                |0.936802       |0.941382      |0.945124       |263              
296                |0.936802       |0.941487      |0.945124       |263              
297                |0.936802       |0.941458      |0.945124       |263              
298                |0.936802       |0.941963      |0.945124       |263              
299                |0.936745       |0.941959      |0.945124       |263              
300                |0.936745       |0.941928      |0.945124       |263              
301                |0.936745       |0.941908      |0.945124       |263              
302                |0.936745       |0.941919      |0.945124       |263              
303                |0.936745       |0.942325      |0.945124       |263              
304                |0.936745       |0.942368      |0.945124       |263              
305                |0.936745       |0.942342      |0.945124       |263              
306                |0.931455       |0.941188      |0.945124       |263              
307                |0.931455       |0.941202      |0.945124       |263              
308                |0.931455       |0.941251      |0.945124       |263              
309                |0.931455       |0.941264      |0.945124       |263              
310                |0.931906       |0.941304      |0.945124       |263              
311                |0.931906       |0.941284      |0.945124       |263              
312                |0.931494       |0.941247      |0.945124       |263              
313                |0.932091       |0.941301      |0.945124       |263              
314                |0.932091       |0.941408      |0.945124       |263              
315                |0.930719       |0.941298      |0.945124       |263              
316                |0.930719       |0.941318      |0.945124       |263              
317                |0.936842       |0.941808      |0.945124       |263              
318                |0.936842       |0.941909      |0.945124       |263              
319                |0.936842       |0.942037      |0.945124       |263              
320                |0.936842       |0.942038      |0.945124       |263              
321                |0.936842       |0.942074      |0.945124       |263              
322                |0.936842       |0.942054      |0.945124       |263              
323                |0.936842       |0.942083      |0.945124       |263              
324                |0.936842       |0.942112      |0.945124       |263              
325                |0.937260       |0.942133      |0.945124       |263              
326                |0.937771       |0.942468      |0.945124       |263              
327                |0.937771       |0.942755      |0.945124       |263              
328                |0.936987       |0.942708      |0.945124       |263              
329                |0.936987       |0.942756      |0.945124       |263              
330                |0.936987       |0.942810      |0.945124       |263              
331                |0.936987       |0.942851      |0.945124       |263              
332                |0.936987       |0.942974      |0.945124       |263              
333                |0.936987       |0.942981      |0.945124       |263              
334                |0.936987       |0.942969      |0.945124       |263              
335                |0.936987       |0.942975      |0.945124       |263              
336                |0.936987       |0.943094      |0.945124       |263              
337                |0.936987       |0.943055      |0.945124       |263              
338                |0.936987       |0.943044      |0.945124       |263              
339                |0.936987       |0.943024      |0.945124       |263              
340                |0.936987       |0.942992      |0.945124       |263              
341                |0.937021       |0.942993      |0.945124       |263              
342                |0.937021       |0.943032      |0.945124       |263              
343                |0.937021       |0.942995      |0.945124       |263              
344                |0.937021       |0.942908      |0.945124       |263              
345                |0.937021       |0.942948      |0.945124       |263              
346                |0.937021       |0.942988      |0.945124       |263              
347                |0.937021       |0.942985      |0.945124       |263              
348                |0.937021       |0.942955      |0.945124       |263              
349                |0.937021       |0.943278      |0.945124       |263              
350                |0.937021       |0.943317      |0.945124       |263              
351                |0.937021       |0.943420      |0.945124       |263              
352                |0.937021       |0.943401      |0.945124       |263              
353                |0.937021       |0.943436      |0.945124       |263              
354                |0.937021       |0.943428      |0.945124       |263              
355                |0.937021       |0.943435      |0.945124       |263              
356                |0.937021       |0.943472      |0.945124       |263              
357                |0.937021       |0.943458      |0.945124       |263              
358                |0.942112       |0.943944      |0.945124       |263              
359                |0.942112       |0.943940      |0.945124       |263              
360                |0.942112       |0.943953      |0.945124       |263              
361                |0.942112       |0.943918      |0.945124       |263              
362                |0.942112       |0.943925      |0.945124       |263              
363                |0.942112       |0.943861      |0.945124       |263              
364                |0.942011       |0.943755      |0.945124       |263              
365                |0.941446       |0.943681      |0.945124       |263              
366                |0.941446       |0.943750      |0.945124       |263              
367                |0.941446       |0.943735      |0.945124       |263              
368                |0.941784       |0.943779      |0.945124       |263              
369                |0.941784       |0.943805      |0.945124       |263              
370                |0.941808       |0.943808      |0.945124       |263              
371                |0.941808       |0.943833      |0.945124       |263              
372                |0.942192       |0.943883      |0.945124       |263              
373                |0.942470       |0.943919      |0.945124       |263              
374                |0.942470       |0.943923      |0.945124       |263              
375                |0.942470       |0.943949      |0.945124       |263              
376                |0.942470       |0.943916      |0.945124       |263              
377                |0.942596       |0.943933      |0.945124       |263              
378                |0.937326       |0.943248      |0.945124       |263              
379                |0.937099       |0.943218      |0.945124       |263              
380                |0.937232       |0.943235      |0.945124       |263              
381                |0.937232       |0.943198      |0.945124       |263              
382                |0.936686       |0.943127      |0.945124       |263              
383                |0.936686       |0.942500      |0.945124       |263              
384                |0.936686       |0.942590      |0.945124       |263              
385                |0.936166       |0.942527      |0.945124       |263              
386                |0.936166       |0.942410      |0.945124       |263              
387                |0.936166       |0.942461      |0.945124       |263              
388                |0.936166       |0.942547      |0.945124       |263              
389                |0.936459       |0.942579      |0.945124       |263              
390                |0.936898       |0.942627      |0.945124       |263              
391                |0.936461       |0.942579      |0.945124       |263              
392                |0.936248       |0.942556      |0.945124       |263              
393                |0.936248       |0.943246      |0.945124       |263              
394                |0.936317       |0.943252      |0.945124       |263              
395                |0.936423       |0.943263      |0.945124       |263              
396                |0.936423       |0.943316      |0.945124       |263              
397                |0.936296       |0.943304      |0.945124       |263              
398                |0.936296       |0.943395      |0.945124       |263              
399                |0.936563       |0.943416      |0.945124       |263              
400                |0.936563       |0.943508      |0.945124       |263              
401                |0.936563       |0.943647      |0.945124       |263              
402                |0.936563       |0.943678      |0.945124       |263              
403                |0.937029       |0.943706      |0.945124       |263              
404                |0.937029       |0.943656      |0.945124       |263              
405                |0.937355       |0.943676      |0.945124       |263              
406                |0.937355       |0.943688      |0.945124       |263              
407                |0.937089       |0.943672      |0.945124       |263              
408                |0.937089       |0.943630      |0.945124       |263              
409                |0.937089       |0.943615      |0.945124       |263              
410                |0.937089       |0.943540      |0.945124       |263              
411                |0.937089       |0.943540      |0.945124       |263              
412                |0.937089       |0.943530      |0.945124       |263              
413                |0.937089       |0.943618      |0.945124       |263              
414                |0.937272       |0.943627      |0.945124       |263              
415                |0.937272       |0.943647      |0.945124       |263              
416                |0.937272       |0.943654      |0.945124       |263              
417                |0.937272       |0.943717      |0.945124       |263              
418                |0.937272       |0.943719      |0.945124       |263              
419                |0.937272       |0.943716      |0.945124       |263              
420                |0.937272       |0.943729      |0.945124       |263              
421                |0.937272       |0.943703      |0.945124       |263              
422                |0.937272       |0.943665      |0.945124       |263              
423                |0.937272       |0.943676      |0.945124       |263              
424                |0.937272       |0.943693      |0.945124       |263              
425                |0.937272       |0.943678      |0.945124       |263              
426                |0.937272       |0.943673      |0.945124       |263              
427                |0.937272       |0.943675      |0.945124       |263              
428                |0.937272       |0.943663      |0.945124       |263              
429                |0.937272       |0.943629      |0.945124       |263              
430                |0.937272       |0.943774      |0.945124       |263              
431                |0.938108       |0.943808      |0.945124       |263              
432                |0.938108       |0.943827      |0.945124       |263              
433                |0.938108       |0.943817      |0.945124       |263              
434                |0.938108       |0.943947      |0.945124       |263              
435                |0.942295       |0.944101      |0.945124       |263              
436                |0.942295       |0.944001      |0.945124       |263              
437                |0.943223       |0.944078      |0.945124       |263              
438                |0.943223       |0.944112      |0.945124       |263              
439                |0.942900       |0.944028      |0.945124       |263              
440                |0.942294       |0.944000      |0.945124       |263              
441                |0.942294       |0.944102      |0.945124       |263              
442                |0.942294       |0.944079      |0.945124       |263              
443                |0.941698       |0.944019      |0.945124       |263              
444                |0.941698       |0.944025      |0.945124       |263              
445                |0.941698       |0.943895      |0.945124       |263              
446                |0.936322       |0.943626      |0.945124       |263              
447                |0.936322       |0.943709      |0.945124       |263              
448                |0.936322       |0.943634      |0.945124       |263              
449                |0.936322       |0.943632      |0.945124       |263              
450                |0.936789       |0.943655      |0.945124       |263              
451                |0.936789       |0.943728      |0.945124       |263              
452                |0.936789       |0.943644      |0.945124       |263              
453                |0.936789       |0.943600      |0.945124       |263              
454                |0.936789       |0.943533      |0.945124       |263              
455                |0.936098       |0.943506      |0.945124       |263              
456                |0.936098       |0.943516      |0.945124       |263              
457                |0.936098       |0.943637      |0.945124       |263              
458                |0.936098       |0.943630      |0.945124       |263              
459                |0.936098       |0.943628      |0.945124       |263              
460                |0.936098       |0.943656      |0.945124       |263              
461                |0.936098       |0.943759      |0.945124       |263              
462                |0.936098       |0.943712      |0.945124       |263              
463                |0.936098       |0.943689      |0.945124       |263              
464                |0.936098       |0.943762      |0.945124       |263              
465                |0.936098       |0.943709      |0.945124       |263              
466                |0.936098       |0.943724      |0.945124       |263              
467                |0.936098       |0.943728      |0.945124       |263              
468                |0.936098       |0.943765      |0.945124       |263              
469                |0.936098       |0.943744      |0.945124       |263              
470                |0.936098       |0.943569      |0.945124       |263              
471                |0.936098       |0.943586      |0.945124       |263              
472                |0.936098       |0.943570      |0.945124       |263              
473                |0.936098       |0.943675      |0.945124       |263              
474                |0.936098       |0.943670      |0.945124       |263              
475                |0.936098       |0.943013      |0.945124       |263              
476                |0.936098       |0.943105      |0.945124       |263              
477                |0.936098       |0.943240      |0.945124       |263              
478                |0.936151       |0.943244      |0.945124       |263              
479                |0.936533       |0.943305      |0.945124       |263              
480                |0.936533       |0.943275      |0.945124       |263              
481                |0.936533       |0.943163      |0.945124       |263              
482                |0.936533       |0.943110      |0.945124       |263              
483                |0.936533       |0.943189      |0.945124       |263              
484                |0.936533       |0.943191      |0.945124       |263              
485                |0.936533       |0.943206      |0.945124       |263              
486                |0.936533       |0.943187      |0.945124       |263              
487                |0.936533       |0.943170      |0.945124       |263              
488                |0.936533       |0.943175      |0.945124       |263              
489                |0.936533       |0.943204      |0.945124       |263              
490                |0.936533       |0.943154      |0.945124       |263              
491                |0.936533       |0.943201      |0.945124       |263              
492                |0.936533       |0.943219      |0.945124       |263              
493                |0.936533       |0.943051      |0.945124       |263              
494                |0.936714       |0.943052      |0.945124       |263              
495                |0.936714       |0.943018      |0.945124       |263              
496                |0.936714       |0.943154      |0.945124       |263              
497                |0.936714       |0.943197      |0.945124       |263              
498                |0.936714       |0.943239      |0.945124       |263              
499                |0.937078       |0.943405      |0.945124       |263              
500                |0.937078       |0.943532      |0.945124       |263              
501                |0.937286       |0.943548      |0.945124       |263              
502                |0.937286       |0.943571      |0.945124       |263              
503                |0.937286       |0.943616      |0.945124       |263              
504                |0.937286       |0.943546      |0.945124       |263              
505                |0.937489       |0.943560      |0.945124       |263              
506                |0.937489       |0.943567      |0.945124       |263              
507                |0.937489       |0.943568      |0.945124       |263              
508                |0.937489       |0.943562      |0.945124       |263              
509                |0.937297       |0.943548      |0.945124       |263              
510                |0.937297       |0.943546      |0.945124       |263              
511                |0.937297       |0.943594      |0.945124       |263              
512                |0.937099       |0.943582      |0.945124       |263              
513                |0.937261       |0.943591      |0.945124       |263              
514                |0.937261       |0.943747      |0.945124       |263              
515                |0.937261       |0.943772      |0.945124       |263              
516                |0.937261       |0.943767      |0.945124       |263              
517                |0.937261       |0.943833      |0.945124       |263              
518                |0.937764       |0.943858      |0.945124       |263              
519                |0.937764       |0.943741      |0.945124       |263              
520                |0.937764       |0.943763      |0.945124       |263              
521                |0.937764       |0.943772      |0.945124       |263              
522                |0.937876       |0.943777      |0.945124       |263              
523                |0.937824       |0.943775      |0.945124       |263              
524                |0.937824       |0.943960      |0.945124       |263              
525                |0.937824       |0.943989      |0.945124       |263              
526                |0.937824       |0.943984      |0.945124       |263              
527                |0.937824       |0.943902      |0.945124       |263              
528                |0.937389       |0.943885      |0.945124       |263              
529                |0.937389       |0.943890      |0.945124       |263              
